endpoint,model,n,n_features,auc_insample,brier
RANO_non_PD,dvh_volume_only,137,1,0.7074404761904761,0.16220366684677853
RANO_non_PD,dvh_volume_clinical,137,4,0.7160714285714286,0.16046792624281703
RANO_non_PD,pyro_mesh_volume,137,1,0.7074404761904761,0.1621830214673725
RANO_non_PD,pyro_top5,137,5,0.7833333333333333,0.14323308022154735
RANO_non_PD,pyro_top5_clinical,137,8,0.7883928571428571,0.1432675527562447
RANO_non_PD,dvh_volume_plus_pyro_top1,137,2,0.7741071428571429,0.14686838710828945
OS_median_proxy,dvh_volume_only,137,1,0.5891352549889135,0.23344349558365401
OS_median_proxy,dvh_volume_clinical,137,4,0.7529933481152993,0.18988595453736512
OS_median_proxy,pyro_mesh_volume,137,1,0.5893569844789357,0.2334301798755553
OS_median_proxy,pyro_top5,137,5,0.6720620842572061,0.21884044846859682
OS_median_proxy,pyro_top5_clinical,137,8,0.7835920177383593,0.18060804075045434
OS_median_proxy,dvh_volume_plus_pyro_top1,137,2,0.6776053215077605,0.21999025007741005
