scheme,rt_dose_gy,n_rano,pd_rate,metric,metric_std,metric_feasible,endpoint,spearman_rho,spearman_p,poisson_auc,poisson_lr_p,poisson_d50
60Gy_30fr,60.0,96,0.27083333333333337,Dmean_gy,0.2867252066790259,True,rano_non_pd_t1,-0.04060210001172081,0.6944904546374511,0.4736263736263736,1.0,1.0
60Gy_30fr,60.0,96,0.27083333333333337,D95_gy,0.6149003847370517,True,rano_non_pd_t1,0.06767016668620134,0.5124061512797102,0.543956043956044,0.9731320348776411,48.74477949797057
60Gy_30fr,60.0,96,0.27083333333333337,volume_cc,27.99879561538201,True,rano_non_pd_t1,0.23938321465243723,0.018823657481072047,0.6554945054945055,0.09952997738151459,1.0
60Gy_30fr,60.0,96,0.27083333333333337,gEUD_a10_gy,0.2841050427353956,True,rano_non_pd_t1,-0.037218591677410734,0.718836617051398,0.4758241758241758,1.0,1.0
60Gy_30fr,60.0,96,0.27083333333333337,HI_gy,0.01965913056414749,False,rano_non_pd_t1,-0.025376312507325503,0.8061323515261073,,,
40Gy_15fr,40.05,34,0.1470588235294118,Dmean_gy,0.09144972440706489,True,rano_non_pd_t1,0.012697168670714545,0.9431828322835202,0.5103448275862069,0.9705160443490164,37.338102170808966
40Gy_15fr,40.05,34,0.1470588235294118,D95_gy,0.2441282946207633,True,rano_non_pd_t1,-0.1904575300607182,0.28062185579059645,0.3448275862068966,1.0,1.9965964580448654
40Gy_15fr,40.05,34,0.1470588235294118,volume_cc,40.20464646171672,True,rano_non_pd_t1,0.4105417870197703,0.015877919515960855,0.8344827586206897,0.03722443069160131,4.106624462922871
40Gy_15fr,40.05,34,0.1470588235294118,gEUD_a10_gy,0.09426890072783657,True,rano_non_pd_t1,0.07195062246738243,0.6859385881970582,0.5586206896551724,0.9531331058291058,37.077026642591214
40Gy_15fr,40.05,34,0.1470588235294118,HI_gy,0.015392601544504564,False,rano_non_pd_t1,0.30049965854024424,0.0841992017897712,,,
